c:\Users\danil\Work\exercises-java\drafts\45-logic\10-bool-type\description.en.yml,description.en.yml,en,2784
c:\Users\danil\Work\exercises-java\drafts\45-logic\12-string-comparasion\description.en.yml,description.en.yml,en,5464
c:\Users\danil\Work\exercises-java\drafts\45-logic\20-combine-expressions\description.en.yml,description.en.yml,en,2941
c:\Users\danil\Work\exercises-java\drafts\45-logic\25-logical-operators\description.en.yml,description.en.yml,en,4068
c:\Users\danil\Work\exercises-java\drafts\45-logic\28-logical-negation\description.en.yml,description.en.yml,en,1321
c:\Users\danil\Work\exercises-java\drafts\80-conditionals\description.en.yml,description.en.yml,en,421
c:\Users\danil\Work\exercises-java\drafts\80-conditionals\30-if\description.en.yml,description.en.yml,en,1827
c:\Users\danil\Work\exercises-java\drafts\80-conditionals\40-if-else\description.en.yml,description.en.yml,en,1695
c:\Users\danil\Work\exercises-java\drafts\80-conditionals\50-else-if\description.en.yml,description.en.yml,en,2405
c:\Users\danil\Work\exercises-java\drafts\80-conditionals\60-ternary-operator\description.en.yml,description.en.yml,en,1984
c:\Users\danil\Work\exercises-java\drafts\80-conditionals\80-switch\description.en.yml,description.en.yml,en,4536
c:\Users\danil\Work\exercises-java\drafts\90-loops\description.en.yml,description.en.yml,en,543
c:\Users\danil\Work\exercises-java\drafts\90-loops\100-while\description.en.yml,description.en.yml,en,6018
c:\Users\danil\Work\exercises-java\drafts\90-loops\150-aggregation-numbers\description.en.yml,description.en.yml,en,3853
c:\Users\danil\Work\exercises-java\drafts\90-loops\200-aggregation-strings\description.en.yml,description.en.yml,en,1335
c:\Users\danil\Work\exercises-java\drafts\90-loops\250-iteration-over-strings\description.en.yml,description.en.yml,en,1202
c:\Users\danil\Work\exercises-java\drafts\90-loops\300-conditions-inside-loops\description.en.yml,description.en.yml,en,1791
c:\Users\danil\Work\exercises-java\drafts\90-loops\350-build-strings\description.en.yml,description.en.yml,en,1572
c:\Users\danil\Work\exercises-java\drafts\90-loops\400-syntax-sugar\description.en.yml,description.en.yml,en,930
c:\Users\danil\Work\exercises-java\drafts\90-loops\450-mutators\description.en.yml,description.en.yml,en,2602
c:\Users\danil\Work\exercises-java\drafts\90-loops\500-return-from-loops\description.en.yml,description.en.yml,en,2242
c:\Users\danil\Work\exercises-java\drafts\90-loops\550-for\description.en.yml,description.en.yml,en,1790
c:\Users\danil\Work\exercises-java\modules\10-basics\description.es.yml,description.es.yml,es,409
c:\Users\danil\Work\exercises-java\modules\10-basics\description.ru.yml,description.ru.yml,ru,346
c:\Users\danil\Work\exercises-java\modules\10-basics\10-hello-world\description.es.yml,description.es.yml,es,2948
c:\Users\danil\Work\exercises-java\modules\10-basics\10-hello-world\description.ru.yml,description.ru.yml,ru,2599
c:\Users\danil\Work\exercises-java\modules\10-basics\20-comments\description.es.yml,description.es.yml,es,1630
c:\Users\danil\Work\exercises-java\modules\10-basics\20-comments\description.ru.yml,description.ru.yml,ru,1500
c:\Users\danil\Work\exercises-java\modules\10-basics\30-statements\description.es.yml,description.es.yml,es,1368
c:\Users\danil\Work\exercises-java\modules\10-basics\30-statements\description.ru.yml,description.ru.yml,ru,1274
c:\Users\danil\Work\exercises-java\modules\10-basics\40-testing\description.es.yml,description.es.yml,es,3801
c:\Users\danil\Work\exercises-java\modules\10-basics\40-testing\description.ru.yml,description.ru.yml,ru,3360
c:\Users\danil\Work\exercises-java\modules\10-basics\50-syntax-error\description.es.yml,description.es.yml,es,1867
c:\Users\danil\Work\exercises-java\modules\10-basics\50-syntax-error\description.ru.yml,description.ru.yml,ru,1674
c:\Users\danil\Work\exercises-java\modules\20-arithmetics\description.es.yml,description.es.yml,es,469
c:\Users\danil\Work\exercises-java\modules\20-arithmetics\description.ru.yml,description.ru.yml,ru,410
c:\Users\danil\Work\exercises-java\modules\20-arithmetics\10-basics\description.es.yml,description.es.yml,es,1633
c:\Users\danil\Work\exercises-java\modules\20-arithmetics\10-basics\description.ru.yml,description.ru.yml,ru,1531
c:\Users\danil\Work\exercises-java\modules\20-arithmetics\20-operators\description.es.yml,description.es.yml,es,2022
c:\Users\danil\Work\exercises-java\modules\20-arithmetics\20-operators\description.ru.yml,description.ru.yml,ru,1895
c:\Users\danil\Work\exercises-java\modules\20-arithmetics\30-commutative\description.es.yml,description.es.yml,es,1397
c:\Users\danil\Work\exercises-java\modules\20-arithmetics\30-commutative\description.ru.yml,description.ru.yml,ru,1264
c:\Users\danil\Work\exercises-java\modules\20-arithmetics\40-composition\description.es.yml,description.es.yml,es,1629
c:\Users\danil\Work\exercises-java\modules\20-arithmetics\40-composition\description.ru.yml,description.ru.yml,ru,1589
c:\Users\danil\Work\exercises-java\modules\20-arithmetics\50-priority\description.en.yml,description.en.yml,en,1897
c:\Users\danil\Work\exercises-java\modules\20-arithmetics\50-priority\description.es.yml,description.es.yml,es,1799
c:\Users\danil\Work\exercises-java\modules\20-arithmetics\50-priority\description.ru.yml,description.ru.yml,ru,1633
c:\Users\danil\Work\exercises-java\modules\20-arithmetics\60-float\description.es.yml,description.es.yml,es,1939
c:\Users\danil\Work\exercises-java\modules\20-arithmetics\60-float\description.ru.yml,description.ru.yml,ru,1825
c:\Users\danil\Work\exercises-java\modules\20-arithmetics\80-linting\description.es.yml,description.es.yml,es,2458
c:\Users\danil\Work\exercises-java\modules\20-arithmetics\80-linting\description.ru.yml,description.ru.yml,ru,2252
c:\Users\danil\Work\exercises-java\modules\25-strings\description.en.yml,description.en.yml,en,205
c:\Users\danil\Work\exercises-java\modules\25-strings\description.es.yml,description.es.yml,es,411
c:\Users\danil\Work\exercises-java\modules\25-strings\description.ru.yml,description.ru.yml,ru,352
c:\Users\danil\Work\exercises-java\modules\25-strings\10-quotes\description.en.yml,description.en.yml,en,1408
c:\Users\danil\Work\exercises-java\modules\25-strings\10-quotes\description.es.yml,description.es.yml,es,2199
c:\Users\danil\Work\exercises-java\modules\25-strings\10-quotes\description.ru.yml,description.ru.yml,ru,1854
c:\Users\danil\Work\exercises-java\modules\25-strings\15-escape-characters\description.en.yml,description.en.yml,en,4384
c:\Users\danil\Work\exercises-java\modules\25-strings\15-escape-characters\description.es.yml,description.es.yml,es,6339
